Product;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;;;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Macro;Irma Puspitasari;Lifestyle;https://www.tiktok.com/@irma_puspitasari/video/7614864104582335765?is_from_webapp=1&sender_device=pc;;;238400;950000;43000;48570;1532;17;21;0,66%;3,23%;20,37%;19,55939881
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Mustami Rosyidah;Lifestyle;https://www.tiktok.com/@mustamiirrosyidah/video/7614897266654219541?is_from_webapp=1&sender_device=pc;;;10400;950000;4255;4255;215;14;12;2,32%;5,66%;40,91%;223,266745
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Nabila Awanda;Lifestyle;https://www.tiktok.com/@aw.ann/video/7615095430082301191?is_from_webapp=1&sender_device=pc;;;12600;950000;209;258;305;0;0;2,42%;118,22%;2,05%;3682,170543
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Fani;Lifestyle;https://www.tiktok.com/@byfa.ni/video/7615167933009972501?is_from_webapp=1&sender_device=pc;;;12800;950000;1800;2030;20;0;0;0,16%;0,99%;15,86%;467,9802956
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Karisma Nurhady;Lifestyle;https://www.tiktok.com/@karismanhdy_/video/7615180824756981012?is_from_webapp=1&sender_device=pc;;;12300;950000;252;281;8;4;0;0,10%;4,27%;2,28%;3380,782918
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Adim Miftah;Lifestyle;https://www.tiktok.com/@adimmiftah/video/7615189203399413000?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;26673;950000;668;915;9;0;1;0,04%;1,09%;3,43%;1038,251366
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Mutiyaa;Lifestyle;https://www.tiktok.com/@mutiyamutya/video/7615493642496658708?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;11380;950000;95;499;3;6;5;0,12%;2,81%;4,38%;1903,807615
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Syarah Larasaty;Lifestyle;https://www.tiktok.com/@sesisarah31/video/7615559587650866439?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;12656;950000;467;704;115;0;0;0,91%;16,34%;5,56%;1349,431818
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Mya Oktarina;Lifestyle;https://www.tiktok.com/@myaoktarina/video/7615962060043586836?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;11057;950000;155;189;11;1;4;0,14%;8,47%;1,71%;5026,455026
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;Instagram;Macro;Gofar Hilman;Lifestyle;https://www.instagram.com/reel/DViY1p3ksQ5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;;;131000;63333333;120537;171100;7600;40;137;5,94%;4,55%;130,61%;370,1539041
